,encounter_category,encounter_type,svc_category,svc_desc,rate_per_encounter
0,Preventive,Well-Child Visits-Infant,Patient History,Patient History,1.0
1,Preventive,Well-Child Visits-Infant,Behavioral Health Screenings,Child Developmental Screening,0.16666666666666666
2,Preventive,Well-Child Visits-Infant,Behavioral Health Screenings,Child Developmental Surveillance,1.0
3,Preventive,Well-Child Visits-Infant,Behavioral Health Screenings,Psychosocial/Behavioral Surveillance,0.5
4,Preventive,Well-Child Visits-Infant,Behavioral Health Screenings,Maternal Depression Screening,1.0
5,Preventive,Well-Child Visits-Infant,Measurements,length/height & weight,1.0
6,Preventive,Well-Child Visits-Infant,Measurements,head circumference,1.0
7,Preventive,Well-Child Visits-Infant,Measurements,BP,1.0
8,Preventive,Well-Child Visits-Infant,Physical Exam,Physical Exam,1.0
9,Preventive,Well-Child Visits-Infant,Sensory Screening,Vision Screening,1.0
10,Preventive,Well-Child Visits-Infant,Sensory Screening,Hearing Screening,0.5
11,Preventive,Well-Child Visits-Infant,Immunization,Hep B,0.5
12,Preventive,Well-Child Visits-Infant,Immunization,Rotavirus,0.5
13,Preventive,Well-Child Visits-Infant,Immunization,DTaP,0.5
14,Preventive,Well-Child Visits-Infant,Immunization,Hib,0.5
15,Preventive,Well-Child Visits-Infant,Immunization,PCV12,0.5
16,Preventive,Well-Child Visits-Infant,Immunization,IPV,0.5
17,Preventive,Well-Child Visits-Infant,Immunization,flu,1.0
18,Preventive,Well-Child Visits-Infant,Lab,Newborn Blood,0.3333333333333333
19,Preventive,Well-Child Visits-Infant,Lab,Newborn Bilirubin,0.16666666666666666
20,Preventive,Well-Child Visits-Infant,Lab,Anemia Screening,0.16666666666666666
21,Preventive,Well-Child Visits-Infant,Lab,Lead Screening,0.3333333333333333
22,Preventive,Well-Child Visits-Infant,Oral Health,Identify Dental Home,0.3333333333333333
23,Preventive,Well-Child Visits-Infant,Oral Health,Fluoride Supplementation,0.3333333333333333
24,Preventive,Well-Child Visits-Infant,Counseling,Anticipatory Guidance,1.0
25,Preventive,Well Child Visits-Early Childhood,Patient History,Patient History,1.0
26,Preventive,Well Child Visits-Early Childhood,Behavioral Health Screenings,Child Developmental Screening,0.2857142857142857
27,Preventive,Well Child Visits-Early Childhood,Behavioral Health Screenings,Autism Spectrum Disorder Screening,0.2857142857142857
28,Preventive,Well Child Visits-Early Childhood,Behavioral Health Screenings,Child Developmental Surveillance,0.7142857142857143
