,pop_min_age,pop_max_age,pop_sex,Acute Level 1 visit,Acute Level 2 visit,Acute Level 3 visit,Acute Level 4 visit
0,0,0.0,F,12.47800658843162,77.54622651219601,862.455381313494,17.845038487328434
1,0,0.0,M,11.825375344205021,78.14891020907521,851.6427960569524,20.327464296278738
2,1,4.0,F,12.47800658843162,77.54622651219601,862.455381313494,17.845038487328434
3,1,4.0,M,11.825375344205021,78.14891020907521,851.6427960569524,20.327464296278738
4,5,10.0,F,12.47800658843162,77.54622651219601,862.455381313494,17.845038487328434
5,5,10.0,M,11.825375344205021,78.14891020907521,851.6427960569524,20.327464296278738
6,11,21.0,F,12.47800658843162,77.54622651219601,862.455381313494,17.845038487328434
7,11,21.0,M,11.825375344205021,78.14891020907521,851.6427960569524,20.327464296278738
8,22,29.0,F,11.147897265073665,52.80017670893936,507.7597062975074,16.501975281058815
9,22,29.0,M,6.728022970273978,40.67268849695897,342.7956288849803,11.059199611562079
10,30,34.0,F,11.147897265073665,52.80017670893936,507.7597062975074,16.501975281058815
11,30,34.0,M,6.728022970273978,40.67268849695897,342.7956288849803,11.059199611562079
12,35,39.0,F,11.924637964638254,50.204681835013815,633.8544104395147,27.84205617922728
13,35,39.0,M,10.172527808758526,43.397949011521916,492.6863211503903,19.992202690566632
14,40,44.0,F,11.924637964638254,50.204681835013815,633.8544104395147,27.84205617922728
15,40,44.0,M,10.172527808758526,43.397949011521916,492.6863211503903,19.992202690566632
16,45,49.0,F,15.717262215226798,52.72259742176188,734.8793837164231,40.34068214964867
17,45,49.0,M,16.040585557666407,46.59093108494256,595.2287393711663,32.231057890051936
18,50,54.0,F,15.717262215226798,52.72259742176188,734.8793837164231,40.34068214964867
19,50,54.0,M,16.040585557666407,46.59093108494256,595.2287393711663,32.231057890051936
20,55,59.0,F,21.061116088384445,59.103916776122546,846.0651441592071,56.119209363186755
21,55,59.0,M,24.18764903980947,55.037689551753914,729.3979463707035,50.85545490501504
22,60,64.0,F,21.061116088384445,59.103916776122546,846.0651441592071,56.119209363186755
23,60,64.0,M,24.18764903980947,55.037689551753914,729.3979463707035,50.85545490501504
24,65,69.0,F,21.061116088384445,59.103916776122546,846.0651441592071,56.119209363186755
25,65,69.0,M,24.18764903980947,55.037689551753914,729.3979463707035,50.85545490501504
26,70,74.0,F,21.061116088384445,59.103916776122546,846.0651441592071,56.119209363186755
27,70,74.0,M,24.18764903980947,55.037689551753914,729.3979463707035,50.85545490501504
28,75,79.0,F,21.061116088384445,59.103916776122546,846.0651441592071,56.119209363186755
29,75,79.0,M,24.18764903980947,55.037689551753914,729.3979463707035,50.85545490501504
30,80,84.0,F,21.061116088384445,59.103916776122546,846.0651441592071,56.119209363186755
31,80,84.0,M,24.18764903980947,55.037689551753914,729.3979463707035,50.85545490501504
32,85,999.0,F,21.061116088384445,59.103916776122546,846.0651441592071,56.119209363186755
33,85,999.0,M,24.18764903980947,55.037689551753914,729.3979463707035,50.85545490501504
34,<<end>>,,,,,,
